Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
5,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,36.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,48.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
5,60.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
8,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,78.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
4,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
4,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
6,30.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
5,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
7,52.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
7,48.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
6,40.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
9,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,48.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,42.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
9,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
5,66.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
9,45.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
8,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,72.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
8,40.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
4,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,44.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
5,48.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0
5,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,48.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
9,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,60.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
8,50.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
9,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,41.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
4,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
